#n err_avu err_avl err_avus err_avls err_aru err_arl err_arus err_arls
10 5.670666e-16 2.035626e-15 5.299534e-16 1.919951e-15 2.938137e-17 0.000000e+00 8.566068e-17 5.887407e-17
20 9.772261e-15 2.446378e-14 1.104836e-14 1.083111e-14 8.369655e-17 0.000000e+00 8.711413e-17 1.392622e-16
30 1.172892e-13 6.855531e-13 3.042441e-12 1.659582e-13 7.621295e-17 0.000000e+00 3.358344e-17 1.232455e-16
40 6.270122e-10 3.294173e-09 2.177269e-10 4.693293e-10 6.894195e-17 0.000000e+00 6.196816e-17 1.610752e-16
50 1.979221e-06 8.588111e-08 1.212948e-06 1.019490e-07 7.586330e-17 0.000000e+00 7.707558e-17 2.042949e-16
60 1.401836e-08 4.006152e-07 1.705498e-08 8.260403e-08 7.494171e-17 0.000000e+00 7.441552e-17 1.574683e-16
70 2.339920e-03 6.973262e-03 3.935230e-02 7.285404e-03 4.934054e-17 0.000000e+00 3.034605e-16 3.154996e-16
80 2.809189e-01 6.469194e-01 9.663663e-02 1.109144e-01 8.827378e-17 0.000000e+00 4.112789e-16 4.217609e-16
90 1.218964e+03 1.525498e+02 8.396438e-02 5.350992e-02 2.440852e-18 0.000000e+00 5.146536e-16 3.039970e-16
100 2.158763e-01 3.186506e+04 8.574130e-03 1.705156e-01 8.075222e-17 4.262044e-19 5.075433e-16 2.854179e-16
110 2.344450e+02 3.408513e+04 8.091368e-02 1.104810e-01 4.650636e-18 1.115596e-18 1.057638e-15 4.086889e-16
120 2.658411e+09 7.177846e+07 1.352898e-01 5.234808e-03 2.733027e-18 3.969026e-20 5.313446e-16 3.971631e-16
130 1.145939e+09 3.846433e+10 4.714539e-02 3.641229e-01 2.795632e-18 5.402856e-19 6.624350e-16 4.699923e-16
140 1.258094e+05 3.600179e+05 9.008308e-02 1.762371e-01 3.236709e-18 1.822524e-19 3.673124e-16 6.475703e-16
150 2.917519e+11 9.453763e+12 6.917767e-02 6.836288e-02 8.805437e-18 6.563991e-19 7.576005e-16 3.877566e-16
160 4.207491e+12 3.155210e+15 9.023308e-02 1.103653e-01 1.932702e-18 8.406552e-19 4.600869e-16 4.302055e-16
170 7.501346e+15 5.439485e+12 2.848317e-01 1.885261e-01 1.604481e-17 4.560925e-19 4.925254e-16 6.042799e-16
180 4.093270e+17 6.620730e+12 1.003869e-01 1.631091e-01 2.624140e-18 3.325741e-19 1.120286e-15 7.436539e-16
190 1.501471e+14 9.966879e+16 9.644244e-02 7.317029e-02 9.488892e-18 6.201199e-19 7.424729e-16 5.396046e-16
